speccode,species,Family,lmax,a,b
972,Ablennes hians,Belonidae,60.800000762939455,5.5e-4,3.226
46918,Aboma etheostoma,Gobiidae,9.113439927101135,NA,NA
67299,Aborichthys cataracta,Nemacheilidae,9.368750035762787,NA,NA
24516,Aborichthys elongatus,Nemacheilidae,9.368750035762787,NA,NA
24517,Aborichthys garoensis,Nemacheilidae,9.368750035762787,NA,NA
24523,Aborichthys kempi,Nemacheilidae,9.368750035762787,NA,NA
65802,Aborichthys rosammai,Nemacheilidae,9.368750035762787,NA,NA
24524,Aborichthys tikaderi,Nemacheilidae,9.368750035762787,NA,NA
67300,Aborichthys verticauda,Nemacheilidae,9.368750035762787,NA,NA
67609,Aborichthys waikhomi,Nemacheilidae,9.368750035762787,NA,NA
268,Abramis brama,Leuciscidae,17.311111132303875,0.01439,3.0997733333333333
14737,Abramites eques,Anostomidae,39.15500052769979,0.017,3.069
10768,Abramites hypselonotus,Anostomidae,39.15500052769979,0.017,3.069
6652,Abudefduf abdominalis,Pomacentridae,18.200000762939453,0.03107,3.0433333333333334
6517,Abudefduf bengalensis,Pomacentridae,16.5,0.023849285714285715,3.051482619047619
11793,Abudefduf concolor,Pomacentridae,15.671428612300328,0.023849285714285715,3.051482619047619
55476,Abudefduf conformis,Pomacentridae,15.671428612300328,0.023849285714285715,3.051482619047619
55868,Abudefduf declivifrons,Pomacentridae,15.671428612300328,0.023849285714285715,3.051482619047619
11811,Abudefduf hoefleri,Pomacentridae,6.199999809265137,0.013235,3
5685,Abudefduf lorenzi,Pomacentridae,12.699999809265137,0.023849285714285715,3.051482619047619
11823,Abudefduf margariteus,Pomacentridae,17.600000381469727,0.023849285714285715,3.051482619047619
11825,Abudefduf natalensis,Pomacentridae,18,0.023849285714285715,3.051482619047619
69265,Abudefduf nigrimargo,Pomacentridae,15.671428612300328,0.023849285714285715,3.051482619047619
64588,Aapticheilichthys websteri,Procatopodidae,3.1999999284744263,NA,NA
16239,Aaptosyax grypus,Cyprinidae,21.23551709076454,NA,NA
2347,Abactochromis labrosus,Cichlidae,22.535185107478387,NA,NA
62612,Abalistes filamentosus,Balistidae,36.79999923706055,0.04519,2.7755
9,Abalistes stellaris,Balistidae,36.79999923706055,0.04519,2.7755
58334,Abalistes stellatus,Balistidae,36.79999923706055,0.04519,2.7755
62797,Abbottina binhi,Gobionidae,20.500000190734863,0.005915,3.3225
65146,Abbottina lalinensis,Gobionidae,20.500000190734863,0.005915,3.3225
55145,Abbottina liaoningensis,Gobionidae,20.500000190734863,0.005915,3.3225
55143,Abbottina obtusirostris,Gobionidae,20.500000190734863,0.00333,3.479
22903,Abbottina rivularis,Gobionidae,20.500000190734863,0.0085,3.166
8049,Ablabys binotatus,Tetrarogidae,8.833333015441895,NA,NA
69366,Ablabys gymnothorax,Tetrarogidae,8.833333015441895,NA,NA
25701,Ablabys macracanthus,Tetrarogidae,8.833333015441895,NA,NA
69367,Ablabys pauciporus,Tetrarogidae,8.833333015441895,NA,NA
10232,Ablabys taenianotus,Tetrarogidae,8.833333015441895,NA,NA
5686,Abudefduf notatus,Pomacentridae,14.399999618530273,0.023849285714285715,3.051482619047619
1119,Abudefduf saxatilis,Pomacentridae,9.800000190734863,0.02075,3.126
5687,Abudefduf septemfasciatus,Pomacentridae,17.799999237060547,0.023849285714285715,3.051482619047619
5688,Abudefduf sexfasciatus,Pomacentridae,17.5,0.02309,3.130985
5689,Abudefduf sordidus,Pomacentridae,20.100000381469727,0.02032,3.0805
8018,Abudefduf sparoides,Pomacentridae,12.100000381469727,0.023849285714285715,3.051482619047619
1120,Abudefduf taurus,Pomacentridae,15.671428612300328,0.023849285714285715,3.051482619047619
8245,Abudefduf troschelii,Pomacentridae,15.671428612300328,0.023849285714285715,3.051482619047619
6630,Abudefduf vaigiensis,Pomacentridae,17.5,0.04243,2.9486666666666665
9626,Abudefduf whitleyi,Pomacentridae,21,0.016050000000000002,3.030893333333333
63844,Abyssoberyx levisquamosus,Stephanoberycidae,NA,NA,NA
17075,Abyssobrotula galatheae,Ophidiidae,NA,NA,NA
48039,Abyssocottus elochini,Cottidae,17.58800001144409,0.01582,3
48040,Abyssocottus gibbosus,Cottidae,17.58800001144409,0.0217,3
47208,Abyssocottus korotneffi,Cottidae,17.58800001144409,0.00994,3
14532,Acanthaluteres brownii,Monacanthidae,16.66428545543126,NA,NA
51356,Acanthaluteres spilomelanurus,Monacanthidae,16.66428545543126,NA,NA
14550,Acanthaluteres vittiger,Monacanthidae,16.66428545543126,NA,NA
56310,Acanthanectes hystrix,Tripterygiidae,4.149473679693122,NA,NA
56311,Acanthanectes rufus,Tripterygiidae,4.149473679693122,NA,NA
12559,Acanthaphritis barbata,Hemerocoetidae,NA,NA,NA
59262,Acanthaphritis grandisquamis,Hemerocoetidae,NA,NA,NA
59416,Acanthaphritis ozawai,Hemerocoetidae,NA,NA,NA
59263,Acanthaphritis unoorum,Hemerocoetidae,NA,NA,NA
3357,Acantharchus pomotis,Centrarchidae,26.5,NA,NA
3708,Acanthemblemaria aspera,Chaenopsidae,NA,0.00771,2.9619999999999997
60573,Acanthemblemaria atrata,Chaenopsidae,NA,0.00786,2.9353333333333333
46703,Acanthemblemaria balanorum,Chaenopsidae,NA,0.0063,3.217
47263,Acanthemblemaria betinensis,Chaenopsidae,NA,0.00786,2.9353333333333333
25510,Acanthemblemaria castroi,Chaenopsidae,NA,0.00786,2.9353333333333333
3709,Acanthemblemaria chaplini,Chaenopsidae,NA,0.00786,2.9353333333333333
46704,Acanthemblemaria crockeri,Chaenopsidae,NA,0.00957,2.627
46709,Acanthemblemaria exilispinus,Chaenopsidae,NA,0.00786,2.9353333333333333
47265,Acanthemblemaria greenfieldi,Chaenopsidae,NA,0.00786,2.9353333333333333
46714,Acanthemblemaria hancocki,Chaenopsidae,NA,0.00786,2.9353333333333333
60576,Acanthemblemaria harpeza,Chaenopsidae,NA,0.00786,2.9353333333333333
65600,Acanthemblemaria hastingsi,Chaenopsidae,NA,0.00786,2.9353333333333333
55035,Acanthemblemaria johnsoni,Chaenopsidae,NA,0.00786,2.9353333333333333
46717,Acanthemblemaria macrospilus,Chaenopsidae,NA,0.00786,2.9353333333333333
60574,Acanthemblemaria mangognatha,Chaenopsidae,NA,0.00786,2.9353333333333333
16485,Acanthemblemaria maria,Chaenopsidae,NA,0.00786,2.9353333333333333
27905,Acanthemblemaria medusa,Chaenopsidae,NA,0.00786,2.9353333333333333
54806,Acanthemblemaria paula,Chaenopsidae,NA,0.00786,2.9353333333333333
47268,Acanthemblemaria rivasi,Chaenopsidae,NA,0.00786,2.9353333333333333
16486,Acanthemblemaria spinosa,Chaenopsidae,NA,0.00786,2.9353333333333333
46725,Acanthemblemaria stephensi,Chaenopsidae,NA,0.00786,2.9353333333333333
50683,Acanthicus Hypostominae,Loricariidae,43.40749979019165,NA,NA
13268,Acanthicus hystrix,Loricariidae,43.40749979019165,NA,NA
351,Acanthistius brasilianus,Serranidae,32.70000076293945,0.0714,2.63755
12690,Acanthistius cinctus,Serranidae,32.70000076293945,0.0714,2.63755
59850,Acanthistius fuscus,Serranidae,32.70000076293945,0.0714,2.63755
65330,Acanthistius joanae,Serranidae,32.70000076293945,0.0714,2.63755
15036,Acanthistius ocellatus,Serranidae,32.70000076293945,0.0714,2.63755
15038,Acanthistius pardalotus,Serranidae,32.70000076293945,0.0714,2.63755
50141,Acanthistius patachonicus,Serranidae,32.70000076293945,0.0714,2.63755
15040,Acanthistius paxtoni,Serranidae,32.70000076293945,0.0714,2.63755
57960,Acanthistius pictus,Serranidae,32.70000076293945,0.1038,2.497
7920,Acanthistius sebastoides,Serranidae,32.70000076293945,0.0714,2.63755
15042,Acanthistius serratus,Serranidae,32.70000076293945,0.039,2.7781000000000002
52601,Acanthobrama centisquama,Leuciscidae,17.311111132303875,0.008026666666666666,3.2113333333333336
61854,Acanthobrama hadiyahensis,Leuciscidae,17.311111132303875,0.008026666666666666,3.2113333333333336
4515,Acanthobrama lissneri,Leuciscidae,17.311111132303875,0.008026666666666666,3.2113333333333336
52603,Acanthobrama marmid,Leuciscidae,17.311111132303875,0.00563,3.168
48174,Acanthobrama microlepis,Leuciscidae,17.311111132303875,0.01085,3.075
